cidade,categoria,ofensor
* BRASIL *,Canal Indisponivel,CLIMATEMPO
* BRASIL *,Canal Indisponivel,FOX HD
* BRASIL *,Canal Indisponivel,TV NOVO TEMPO HD
* BRASIL *,Canal Indisponivel,NICK JR.
* BRASIL *,Canal Indisponivel,CANAL 500
* BRASIL *,Canal Indisponivel,REDE VIDA
* BRASIL *,Canal Indisponivel,TELECINE PREMIUM
* BRASIL *,Canal Indisponivel,RADIO CBN RJ
* BRASIL *,Canal Indisponivel,WARNER CHANNEL
* BRASIL *,Canal Indisponivel,Nosso Futebol
* BRASIL *,Canal Indisponivel,ART
* BRASIL *,Canal Indisponivel,CARTOON NETWORK
* BRASIL *,Canal Indisponivel,ESPN 2 HD
* BRASIL *,Canal Indisponivel,HBO2 HD
* BRASIL *,Canal Indisponivel,FOX PREMIUM 1 HD
* BRASIL *,Canal Indisponivel,NET TV
* BRASIL *,Canal Indisponivel,BBB (Mosaico)
* BRASIL *,Canal Indisponivel,COPA NORDESTE
* BRASIL *,Canal Indisponivel,REDE MUNDIAL
* BRASIL *,Canal Indisponivel,TELECINE FUN HD
* BRASIL *,Canal Indisponivel,WOOHOO
* BRASIL *,Canal Indisponivel,CANAL E!
* BRASIL *,Canal Indisponivel,CANÇÃO NOVA
* BRASIL *,Canal Indisponivel,ESPN BRASIL HD
* BRASIL *,Canal Indisponivel,HBO SIGNATURE
* BRASIL *,Canal Indisponivel,Maxx HD 2
* BRASIL *,Canal Indisponivel,NET GAMES
* BRASIL *,Canal Indisponivel,PREMIERE 5 HD
* BRASIL *,Canal Indisponivel,CARIOCA 1
* BRASIL *,Canal Indisponivel,RECORD
* BRASIL *,Canal Indisponivel,TELECINE CULT
* BRASIL *,Canal Indisponivel,VIVA HD
* BRASIL *,Canal Indisponivel,MARKKET (692)
* BRASIL *,Canal Indisponivel,CANAL LEGISLATIVO
* BRASIL *,Canal Indisponivel,DW (AMERIKA)
* BRASIL *,Canal Indisponivel,HBO PLUS
* BRASIL *,Canal Indisponivel,NATIONAL GEOGRAPHIC HD
* BRASIL *,Canal Indisponivel,SPORTV10 HD
* BRASIL *,Canal Indisponivel,RAI
* BRASIL *,Canal Indisponivel,TCM
* BRASIL *,Canal Indisponivel,VENUS
* BRASIL *,Canal Indisponivel,CANAL BRASIL
* BRASIL *,Canal Indisponivel,DISNEY CHANNEL HD
* BRASIL *,Canal Indisponivel,HBO FAMILY
* BRASIL *,Canal Indisponivel,MUSIC BOX BRAZIL
* BRASIL *,Canal Indisponivel,SPORTV7 HD
* BRASIL *,Canal Indisponivel,PREMIERE MOSAICO
* BRASIL *,Canal Indisponivel,STUDIO UNIVERSAL
* BRASIL *,Canal Indisponivel,TVE INTERNACIONAL
* BRASIL *,Canal Indisponivel,Globo Mato Grosso
* BRASIL *,Canal Indisponivel,CANAL 250
* BRASIL *,Canal Indisponivel,BIS HD
* BRASIL *,Canal Indisponivel,DISCOVERY TURBO
* BRASIL *,Canal Indisponivel,BBS
* BRASIL *,Canal Indisponivel,GNT
* BRASIL *,Canal Indisponivel,MTV HD
* BRASIL *,Canal Indisponivel,PREMIERE 4 HD
* BRASIL *,Canal Indisponivel,PREMIERE CLUBES HD
* BRASIL *,Canal Indisponivel,SPORTV2 HD
* BRASIL *,Canal Indisponivel,TV RA TIM BUM
* BRASIL *,Canal Indisponivel,WA
* BRASIL *,Canal Indisponivel,BBC HD
* BRASIL *,Canal Indisponivel,DISCOVERY KIDS
* BRASIL *,Canal Indisponivel,CARTON NETWORK HD
* BRASIL *,Canal Indisponivel,GLOBO
* BRASIL *,Canal Indisponivel,MEGAPIX HD
* BRASIL *,Canal Indisponivel,PREMIERE
* BRASIL *,Canal Indisponivel,LOVE NATURE
* BRASIL *,Canal Indisponivel,PREMIERE 7
* BRASIL *,Canal Indisponivel,SPORTV
* BRASIL *,Canal Indisponivel,TV ESCOLA
* BRASIL *,Canal Indisponivel,ESPORTE INTERATIVO 2
* BRASIL *,Canal Indisponivel,FOX 1 HD
* BRASIL *,Canal Indisponivel,BAND SPORTS
* BRASIL *,Canal Indisponivel,DISCOVERY CIVILIZATION
* BRASIL *,Canal Indisponivel,GLOBO HD
* BRASIL *,Canal Indisponivel,MAX UP HD
* BRASIL *,Canal Indisponivel,ART LATINO
* BRASIL *,Canal Indisponivel,PREMIERE 4
* BRASIL *,Canal Indisponivel,NATGEO WILD
* BRASIL *,Canal Indisponivel,SONY HD
* BRASIL *,Canal Indisponivel,TV ABERTA
* BRASIL *,Canal Indisponivel,HD2 HD
* BRASIL *,Canal Indisponivel,AXN HD
* BRASIL *,Canal Indisponivel,DISC. HOME & HEALTH
* BRASIL *,Canal Indisponivel,FX HD
* BRASIL *,Canal Indisponivel,MAX PRIME HD
* BRASIL *,Canal Indisponivel,PLAYBOY TV
* BRASIL *,Canal Indisponivel,SHOPTIME.COM
* BRASIL *,Canal Indisponivel,TNT
* BRASIL *,Canal Indisponivel,ANIMAL PLANET
* BRASIL *,Canal Indisponivel,CULTURA HD
* BRASIL *,Canal Indisponivel,BABY
* BRASIL *,Canal Indisponivel,FOX SPORTS2
* BRASIL *,Canal Indisponivel,MAX
* BRASIL *,Canal Indisponivel,CANAL DO BOI
* BRASIL *,Canal Indisponivel,PARAMOUNT
* BRASIL *,Canal Indisponivel,SEXTREME
* BRASIL *,Canal Indisponivel,THE HISTORY CHANNEL HD
* BRASIL *,Canal Indisponivel,HGTV HD
* BRASIL *,Canal Indisponivel,VIDA NOVA TV
* BRASIL *,Canal Indisponivel,Canal TBC (Canal TRip)
* BRASIL *,Canal Indisponivel,TNT SERIES
* BRASIL *,Canal Indisponivel,#NOME?
* BRASIL *,Canal Indisponivel,CNT
* BRASIL *,Canal Indisponivel,EI MAXX 1
* BRASIL *,Canal Indisponivel,FOX SPORTS HD
* BRASIL *,Canal Indisponivel,ID HD
* BRASIL *,Canal Indisponivel,TVE ( TV ESPANHA )
* BRASIL *,Canal Indisponivel,NOVO TEMPO
* BRASIL *,Canal Indisponivel,RIT TV
* BRASIL *,Canal Indisponivel,TELECINE TOUCH
* BRASIL *,Canal Indisponivel,TV CANÇÃO NOVA
* BRASIL *,Canal Indisponivel,MUSIC BOX BRASIL HD
* BRASIL *,Canal Indisponivel,EURO CHANNEL
* BRASIL *,Canal Indisponivel,SBN
* BRASIL *,Canal Indisponivel,FISH TV
* BRASIL *,Canal Indisponivel,TV EVERYwhere_
* BRASIL *,Canal Indisponivel,CINEMAX HD
* BRASIL *,Canal Indisponivel,FOX
* BRASIL *,Canal Indisponivel,TV NOVO TEMPO
* BRASIL *,Canal Indisponivel,NHK
* BRASIL *,Canal Indisponivel,RÁDIO GAÚCHA
* BRASIL *,Canal Indisponivel,REDE TV!
* BRASIL *,Canal Indisponivel,TELECINE PIPOCA HD
* BRASIL *,Canal Indisponivel,RADIO GLOBO RJ
* BRASIL *,Canal Indisponivel,FOOD NETWORK HD
* BRASIL *,Canal Indisponivel,CARTOON HD
* BRASIL *,Canal Indisponivel,ESPN  
* BRASIL *,Canal Indisponivel,HBO2
* BRASIL *,Canal Indisponivel,NET MÚSICA
* BRASIL *,Canal Indisponivel,REDE GOSPEL
* BRASIL *,Canal Indisponivel,TELECINE FUN
* BRASIL *,Canal Indisponivel,CURTA HD
* BRASIL *,Canal Indisponivel,WARNER
* BRASIL *,Canal Indisponivel,566 - SPORTS
* BRASIL *,Canal Indisponivel,CANAL UNIVERSITÁRIO
* BRASIL *,Canal Indisponivel,ESPN BRASIL
* BRASIL *,Canal Indisponivel,HBO PLUSe
* BRASIL *,Canal Indisponivel,EI Maxx HD
* BRASIL *,Canal Indisponivel,ZOOMOO
* BRASIL *,Canal Indisponivel,NET CIDADE SP
* BRASIL *,Canal Indisponivel,PREMIERE 2 HD
* BRASIL *,Canal Indisponivel,Band Esportes
* BRASIL *,Canal Indisponivel,RECORD NEWS
* BRASIL *,Canal Indisponivel,TELECINE ACTION HD
* BRASIL *,Canal Indisponivel,VIVA
* BRASIL *,Canal Indisponivel,SABOR ART HD
* BRASIL *,Canal Indisponivel,CANAL DE VENDAS NET 
* BRASIL *,Canal Indisponivel,DISNEY XD
* BRASIL *,Canal Indisponivel,HBO HD
* BRASIL *,Canal Indisponivel,NATIONAL GEOGRAPHIC
* BRASIL *,Canal Indisponivel,SPORTV9 HD
* BRASIL *,Canal Indisponivel,PRIVATE
* BRASIL *,Canal Indisponivel,TBS
* BRASIL *,Canal Indisponivel,UNIVERSAL TV HD
* BRASIL *,Canal Indisponivel,CONMEBOL
* BRASIL *,Canal Indisponivel,Jovem Pan
* BRASIL *,Canal Indisponivel,BOOMERANG
* BRASIL *,Canal Indisponivel,DISNEY CHANNEL
* BRASIL *,Canal Indisponivel,TCM HD
* BRASIL *,Canal Indisponivel,HBO
* BRASIL *,Canal Indisponivel,MULTIshow_ HD
* BRASIL *,Canal Indisponivel,SPORTV6 HD
* BRASIL *,Canal Indisponivel,FILM&ARTS
* BRASIL *,Canal Indisponivel,PREMIERE INTERATIVO
* BRASIL *,Canal Indisponivel,SPORTV3 HD
* BRASIL *,Canal Indisponivel,TV5 MONDE
* BRASIL *,Canal Indisponivel,RADIO GLOBO MG
* BRASIL *,Canal Indisponivel,BIS
* BRASIL *,Canal Indisponivel,DISCOVERY SCIENCE
* BRASIL *,Canal Indisponivel,TOONCAST HD
* BRASIL *,Canal Indisponivel,GLOOB HD
* BRASIL *,Canal Indisponivel,MTV
* BRASIL *,Canal Indisponivel,PREMIERE 3 HD
* BRASIL *,Canal Indisponivel,PREMIERE CLUBES
* BRASIL *,Canal Indisponivel,SPORTV2
* BRASIL *,Canal Indisponivel,PLAYHIT
* BRASIL *,Canal Indisponivel,TV KOREA
* BRASIL *,Canal Indisponivel,MEZZO
* BRASIL *,Canal Indisponivel,TODO O LINEUP
* BRASIL *,Canal Indisponivel,BAND
* BRASIL *,Canal Indisponivel,DISCOVERY HD THEATER
* BRASIL *,Canal Indisponivel,GLOBO NEWS HD
* BRASIL *,Canal Indisponivel,MEGAPIX
* BRASIL *,Canal Indisponivel,PREMIERE 6
* BRASIL *,Canal Indisponivel,SPACE HD
* BRASIL *,Canal Indisponivel,TV CAMARA
* BRASIL *,Canal Indisponivel,ESPORTE INTERATIVO
* BRASIL *,Canal Indisponivel,TRACE BRAZUCA HD
* BRASIL *,Canal Indisponivel,FOX ACTION
* BRASIL *,Canal Indisponivel,BAND NEWS
* BRASIL *,Canal Indisponivel,DISCOVERY
* BRASIL *,Canal Indisponivel,GLITZ
* BRASIL *,Canal Indisponivel,MAX UP
* BRASIL *,Canal Indisponivel,PREMIERE 2
* BRASIL *,Canal Indisponivel,TLC HD
* BRASIL *,Canal Indisponivel,SONY
* BRASIL *,Canal Indisponivel,TOONCAST
* BRASIL *,Canal Indisponivel,HBO MUNDI HD
* BRASIL *,Canal Indisponivel,RA TIM BUM
* BRASIL *,Canal Indisponivel,AXN
* BRASIL *,Canal Indisponivel,CURTA!
* BRASIL *,Canal Indisponivel,FX
* BRASIL *,Canal Indisponivel,MAX PRIME
* BRASIL *,Canal Indisponivel,PLAY TV
* BRASIL *,Canal Indisponivel,SHOPBUY
* BRASIL *,Canal Indisponivel,TLC HD SIMULCAST
* BRASIL *,Canal Indisponivel,A&E
* BRASIL *,Canal Indisponivel,COMEDY CENTRAL
* BRASIL *,Canal Indisponivel,FOX LIFE HD
* BRASIL *,Canal Indisponivel,FOX SPORTS 
* BRASIL *,Canal Indisponivel,LIFETIME
* BRASIL *,Canal Indisponivel,PAI ETERNO
* BRASIL *,Canal Indisponivel,OFF HD
* BRASIL *,Canal Indisponivel,SBT  
* BRASIL *,Canal Indisponivel,THE HISTORY CHANNEL
* BRASIL *,Canal Indisponivel,Educação
* BRASIL *,Canal Indisponivel,NOW
* BRASIL *,Canal Indisponivel,CNN INTERNATIONAL
* BRASIL *,Canal Indisponivel,TV LBV
* BRASIL *,Canal Indisponivel,FOX LIFE
* BRASIL *,Canal Indisponivel,NICKELODEON
* BRASIL *,Canal Indisponivel,REDETV! HD
* BRASIL *,Canal Indisponivel,TELECINE PREMIUM HD
* BRASIL *,Canal Indisponivel,TV APARECIDA
* BRASIL *,Canal Indisponivel,WARNER CHANNEL HD
* BRASIL *,Canal Indisponivel,NSports
* BRASIL *,Canal Indisponivel,CINEMAX
* BRASIL *,Canal Indisponivel,NATGEO WILD
* BRASIL *,Canal Indisponivel,FOR MAN
* BRASIL *,Canal Indisponivel,ID
* BRASIL *,Canal Indisponivel,NOVO TEMPO HD
* BRASIL *,Canal Indisponivel,NET TV HD
* BRASIL *,Canal Indisponivel,BBB
* BRASIL *,Canal Indisponivel,TV WA
* BRASIL *,Canal Indisponivel,REDE PLENITUDE
* BRASIL *,Canal Indisponivel,TELECINE PIPOCA
* BRASIL *,Canal Indisponivel,Touchstream
* BRASIL *,Canal Indisponivel,CLARO-DTH
* BRASIL *,Canal Indisponivel,LIVE (TV)
* BRASIL *,Canal Indisponivel,CARTOON GAMES - INTERATIVO
* BRASIL *,Canal Indisponivel,ESPN HD
* BRASIL *,Canal Indisponivel,HBO SIGNATURE HD
* BRASIL *,Canal Indisponivel,NET INTERATIVA
* BRASIL *,Canal Indisponivel,TOP TV
* BRASIL *,Canal Indisponivel,STAR HITS
* BRASIL *,Canal Indisponivel,REDE 21
* BRASIL *,Canal Indisponivel,TELECINE CULT HD
* BRASIL *,Canal Indisponivel,WARNER HD
* BRASIL *,Canal Indisponivel,NICKELODEON HD
* BRASIL *,Canal Indisponivel,CLAROTV+
* BRASIL *,Canal Indisponivel,CANAL RURAL
* BRASIL *,Canal Indisponivel,E! 
* BRASIL *,Canal Indisponivel,HBO PLUS HD
* BRASIL *,DTH - Área de risco,Local
* BRASIL *,DTH - Canal,REDE TV
* BRASIL *,DTH - Canal,TCM
* BRASIL *,DTH - Canal,Fish TV
* BRASIL *,DTH - Canal,Music Box HD
* BRASIL *,DTH - Canal,ESPN EXTRA HD
* BRASIL *,DTH - Canal,Star Life
* BRASIL *,DTH - Canal,Combate SD
* BRASIL *,DTH - Canal,FX HD
* BRASIL *,DTH - Canal,Globo São Paulo HD
* BRASIL *,DTH - Canal,Music Box Brazil
* BRASIL *,DTH - Canal,Record News
* BRASIL *,DTH - Canal,TC Premium SD
* BRASIL *,DTH - Canal,Interatividade PFC
* BRASIL *,DTH - Canal,Comedy Central HD
* BRASIL *,DTH - Canal,CGTN
* BRASIL *,DTH - Canal,Conmebol TV 4 HD
* BRASIL *,DTH - Canal,CNNi
* BRASIL *,DTH - Canal,Fox Sports 2 SD
* BRASIL *,DTH - Canal,Globo São José do Rio Preto
* BRASIL *,DTH - Canal,Multishow_ Fuso
* BRASIL *,DTH - Canal,Ra Tim Bum
* BRASIL *,DTH - Canal,TC Pipoca HD
* BRASIL *,DTH - Canal,Warner HD
* BRASIL *,DTH - Canal,Canal Comunitário
* BRASIL *,DTH - Canal,Conmebol TV 1 HD
* BRASIL *,DTH - Canal,COPA DO NORDESTE 2
* BRASIL *,DTH - Canal,Cinemax HD
* BRASIL *,DTH - Canal,Fox Life
* BRASIL *,DTH - Canal,Globo Salvador SD
* BRASIL *,DTH - Canal,MIX TV
* BRASIL *,DTH - Canal,Premiere 8
* BRASIL *,DTH - Canal,TC Cult SD
* BRASIL *,DTH - Canal,VH1 Mega Hits
* BRASIL *,DTH - Canal,TODOS OS CANAIS
* BRASIL *,DTH - Canal,WooHoo HD
* BRASIL *,DTH - Canal,Conmebol TV 2 SD
* BRASIL *,DTH - Canal,CARIOCA 1
* BRASIL *,DTH - Canal,Canal Claro SD
* BRASIL *,DTH - Canal,ESPN SD
* BRASIL *,DTH - Canal,Globo Rio de Janeiro HD
* BRASIL *,DTH - Canal,Lifetime
* BRASIL *,DTH - Canal,Premiere 5 SD
* BRASIL *,DTH - Canal,TC Action HD
* BRASIL *,DTH - Canal,TV5
* BRASIL *,DTH - Canal,SYFY HD
* BRASIL *,DTH - Canal,REDE TV HD
* BRASIL *,DTH - Canal,JP NEWS HD
* BRASIL *,DTH - Canal,ESPN 3
* BRASIL *,DTH - Canal,Canal Brasil SD
* BRASIL *,DTH - Canal,ESPN 2 SD
* BRASIL *,DTH - Canal,Globo Recife HD
* BRASIL *,DTH - Canal,ID HD
* BRASIL *,DTH - Canal,Premiere 4 HD
* BRASIL *,DTH - Canal,Studio Universal
* BRASIL *,DTH - Canal,TV Executiva
* BRASIL *,DTH - Canal,BBB Mosaico HD
* BRASIL *,DTH - Canal,Gloobinho HD
* BRASIL *,DTH - Canal,CARTOONITO
* BRASIL *,DTH - Canal,Blackout SPORTV SD
* BRASIL *,DTH - Canal,Disney XD
* BRASIL *,DTH - Canal,Globo Natal
* BRASIL *,DTH - Canal,HBO SD
* BRASIL *,DTH - Canal,Premiere 2 SD
* BRASIL *,DTH - Canal,SporTV 3 SD
* BRASIL *,DTH - Canal,TV Cultura
* BRASIL *,DTH - Canal,Food Network HD
* BRASIL *,DTH - Canal,Film & Arts SD
* BRASIL *,DTH - Canal,TV Brasil 2
* BRASIL *,DTH - Canal,REDE TV- STARONE
* BRASIL *,DTH - Canal,BIS HD
* BRASIL *,DTH - Canal,Disney HD
* BRASIL *,DTH - Canal,Globo Fortaleza SD
* BRASIL *,DTH - Canal,HBO HD
* BRASIL *,DTH - Canal,SporTV 2 HD
* BRASIL *,DTH - Canal,TV Brasil
* BRASIL *,DTH - Canal,Novo Tempo
* BRASIL *,DTH - Canal,Now Clarotv
* BRASIL *,DTH - Canal,HBO Extreme SD
* BRASIL *,DTH - Canal,RECORD ANALÓGICO - STARONE
* BRASIL *,DTH - Canal,BBB HD
* BRASIL *,DTH - Canal,Discovery Turbo HD
* BRASIL *,DTH - Canal,Globo Cuiabá
* BRASIL *,DTH - Canal,HBO 2 SD
* BRASIL *,DTH - Canal,Playboy TV
* BRASIL *,DTH - Canal,Sony SD
* BRASIL *,DTH - Canal,Tooncast
* BRASIL *,DTH - Canal,Globo Brasília HD
* BRASIL *,DTH - Canal,AMC SD
* BRASIL *,DTH - Canal,HBO Mundi HD
* BRASIL *,DTH - Canal,TRIBUNA - STARONE
* BRASIL *,DTH - Canal,Band News
* BRASIL *,DTH - Canal,Discovery Kids HD
* BRASIL *,DTH - Canal,Globo Brasília
* BRASIL *,DTH - Canal,H2 HD
* BRASIL *,DTH - Canal,OFF SD
* BRASIL *,DTH - Canal,Sexy Hot
* BRASIL *,DTH - Canal,TLC SD
* BRASIL *,DTH - Canal,Globo Goiânia HD
* BRASIL *,DTH - Canal,HGTV HD
* BRASIL *,DTH - Canal,CINE BRASIL - STARONE
* BRASIL *,DTH - Canal,AXN HD
* BRASIL *,DTH - Canal,Discovery Ch.SD
* BRASIL *,DTH - Canal,Globo Belém SD
* BRASIL *,DTH - Canal,Gloob SD
* BRASIL *,DTH - Canal,Nick Jr
* BRASIL *,DTH - Canal,RIT TV
* BRASIL *,DTH - Canal,THC HD
* BRASIL *,DTH - Canal,TNT Séries HD
* BRASIL *,DTH - Canal,Nat Geo Kids
* BRASIL *,DTH - Canal,Mais Globosat SD
* BRASIL *,DTH - Canal,JOCKEY - STARONE
* BRASIL *,DTH - Canal,A&E SD
* BRASIL *,DTH - Canal,Curta!
* BRASIL *,DTH - Canal,Globo Bauru HD
* BRASIL *,DTH - Canal,GloboNews HD
* BRASIL *,DTH - Canal,National Geographic HD
* BRASIL *,DTH - Canal,Rede Record
* BRASIL *,DTH - Canal,TC Touch SD
* BRASIL *,DTH - Canal,Jogo Sodoku
* BRASIL *,DTH - Canal,Prime Box HD
* BRASIL *,DTH - Canal,DISNEY JR HD
* BRASIL *,DTH - Canal,Star Channel HD
* BRASIL *,DTH - Canal,Combate HD
* BRASIL *,DTH - Canal,Futura
* BRASIL *,DTH - Canal,Globo São Paulo
* BRASIL *,DTH - Canal,Multishow_ SD
* BRASIL *,DTH - Canal,RBI TV
* BRASIL *,DTH - Canal,TC Premium HD
* BRASIL *,DTH - Canal,WooHoo
* BRASIL *,DTH - Canal,Curta! HD
* BRASIL *,DTH - Canal,Boa Vontade TV HD
* BRASIL *,DTH - Canal,Conmebol TV 3 HD
* BRASIL *,DTH - Canal,CNNe
* BRASIL *,DTH - Canal,Fox Sports 2 HD
* BRASIL *,DTH - Canal,Globo São Carlos
* BRASIL *,DTH - Canal,MTV SD
* BRASIL *,DTH - Canal,Prime Box Brasil
* BRASIL *,DTH - Canal,TC Fun SD
* BRASIL *,DTH - Canal,Viva SD
* BRASIL *,DTH - Canal,REDE VIDA HD
* BRASIL *,DTH - Canal,Pai Eterno
* BRASIL *,DTH - Canal,Conmebol TV 4 SD
* BRASIL *,DTH - Canal,COPA DO NORDESTE 1
* BRASIL *,DTH - Canal,Cartoon
* BRASIL *,DTH - Canal,Fox HD
* BRASIL *,DTH - Canal,Globo Salvador HD
* BRASIL *,DTH - Canal,MegaPix SD
* BRASIL *,DTH - Canal,Premiere 7
* BRASIL *,DTH - Canal,TC Cult HD
* BRASIL *,DTH - Canal,UNIVERSAL TV SD
* BRASIL *,DTH - Canal,STUDIO UNIVERSAL HD
* BRASIL *,DTH - Canal,BABY TV
* BRASIL *,DTH - Canal,Conmebol TV 1 SD
* BRASIL *,DTH - Canal,ESPN 4
* BRASIL *,DTH - Canal,Canal Claro Livre
* BRASIL *,DTH - Canal,ESPN HD
* BRASIL *,DTH - Canal,Globo Ribeirão Preto
* BRASIL *,DTH - Canal,ISAT
* BRASIL *,DTH - Canal,Premiere 5 HD
* BRASIL *,DTH - Canal,TBS
* BRASIL *,DTH - Canal,TV Senado
* BRASIL *,DTH - Canal,BAND HD
* BRASIL *,DTH - Canal,RECORD HD
* BRASIL *,DTH - Canal,Loading
* BRASIL *,DTH - Canal,ESPN 3 HD
* BRASIL *,DTH - Canal,Canal Brasil HD
* BRASIL *,DTH - Canal,ESPN 2 HD
* BRASIL *,DTH - Canal,Globo Porto Alegre SD
* BRASIL *,DTH - Canal,HBO Signature SD
* BRASIL *,DTH - Canal,Premiere 3 SD
* BRASIL *,DTH - Canal,SporTV SD
* BRASIL *,DTH - Canal,TV Espanha
* BRASIL *,DTH - Canal,Novo Tempo HD
* BRASIL *,DTH - Canal,TV WA
* BRASIL *,DTH - Canal,TV WA - STARONE
* BRASIL *,DTH - Canal,Blackout SPORTV HD
* BRASIL *,DTH - Canal,Disney SD
* BRASIL *,DTH - Canal,Globo Manaus
* BRASIL *,DTH - Canal,HBO Plus SD
* BRASIL *,DTH - Canal,Premiere 2 HD
* BRASIL *,DTH - Canal,SporTV 3 HD
* BRASIL *,DTH - Canal,TV Canção Nova
* BRASIL *,DTH - Canal,Food Network
* BRASIL *,DTH - Canal,LIKE HD
* BRASIL *,DTH - Canal,HBO Pop SD
* BRASIL *,DTH - Canal,ALERC - STARONE
* BRASIL *,DTH - Canal,BBB SD
* BRASIL *,DTH - Canal,Discovery World HD
